Vertical,Pais,Lado,Empresa,Contacto,Puesto,Funcion,Ciudad,Estado,Email,Telefono,Segmento,Prioridad,LinkedIn,Fuente,Origen,electronica,nivel,region,severidad,motivo_riesgo
Electronica,Mexico,Demanda,"FABRICA DE ARTICULOS METALICOS, S.A.",(contacto general),(giro: FABRICACION DE MATERIALES Y ACCE),Materiales / Planeación,IZTAPALAPA,DISTRITO FEDERAL,famsa_mx@yahoo.com.mx,(55 )5582 6088,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"INDUSTRIAL TELETERNIK, S.A. DE C.V.",(contacto general),(giro: FABRICACION DE EQUIPOS DIGITALES),Otro,IZTAPALAPA,DISTRITO FEDERAL,ventas@teleternik.com,(55 )55321958,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"VOLTAMP, S.A. DE C.V.",(contacto general),(giro: Fabricacion de Productos Eléctri),Otro,TLALPAN,DISTRITO FEDERAL,ventas@voltamp.com.mx,(55)56064149,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"TIELSA, S.A. DE C.V.",(contacto general),(giro: ANUNCIOS LUMINOSOSO; CONDUCTORES),Otro,GUSTAVO A. MADERO,DISTRITO FEDERAL,tielsa24@hotmail.com,(01)57529445,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"CABLES Y PLASTICOS, S.A. DE C.V.",(contacto general),(giro: FABRICACION DE CONDUCTORES ELECT),Otro,ATIZAPAN DE ZARAGOZA,ESTADO DE MEXICO,ventas@cabyplast.com,(55 )5822 95 22,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"INDUSTRIA ELECTRONICA ZEN, S.A. DE C.V.",(contacto general),(giro: INST. CIRCUITO CERRADO T.V.;MUS.),Otro,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,iez@prodigy.net.mx,(55 )3586667: 3586697,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"MEXICANA DE LAMINACION, S.A. DE C.V.",(contacto general),(giro: FABRICACION DE MALLA ELECTROSOLD),Otro,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,ventas@mex-lam.com,(55 )57559561,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"ZENITROM Y J.B., S.A. DE C.V.",(contacto general),(giro: FAB. DISTR. DE PRODUCTOS ELECTRI),Otro,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,zenitrom33@hotmail.com,(55 )5877 1948,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"ARGOS ELECTRICA, S.A. DE C.V.",(contacto general),(giro: MANUFACTURA DE CONDUCTORES ELECT),Técnico / Procesos,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,abravo@argoselectrica.com; bchijner@argoselectrica,(55 )26209900,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,correo malformado o inferido
Electronica,Mexico,Demanda,"SINERGIA COMERCIAL, S.A. DE C.V.",(contacto general),(giro: LAMPARAS ELECTRONICAS),Otro,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,bluf@prodigy.net.mx,(55 )28762909,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
