empresa,nacionalidad,giro,tel,estado,evidencia,calidad_fuente
"AERNNOVA COMPONENTES MEXICO, S.A. DE C.V.",,Espaola Fabricacin de piezas para la industria aeronutica,442 227 28 50,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"AUTOMOTIVE CARRIER AND PROTECTION SYSTEM, S.A. DE C.V.",Alemana,Autopartes,442 767 2358,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"BAOMARC AUTOMOTIVE SOLUTIONS MEXICO, S. DE R.L. DE C.V.",,Italo China Automotriz Cerrada La Estacada 550 B,442 192 85 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"BMC MEXICO AUTOPARTS, S.A. DE C.V.",Coreana,Automotriz,442 240 91 25,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"ECKERLE DE MEXICO, S.A. DE C.V.",Alemana,Automotriz,442 296 44 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"FEDERAL MOGUL SP MEXICO, S.A. DE C.V. (TENNECO",Americana,Automotriz,442 101 81 05,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"FEG DE QUERETARO, S.A. DE C.V.",Japonesa,Automotriz Cerrada la Noria 106,442 229 51 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"GREENKOTE IPC, S. A. DE C.V.",Americana,Automotriz,442 238 96 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"INTERNATIONAL PARTS DISTRIBUTION, S. DE R.L. DE C.V.",Americana,Automotriz Av La Montaa 114,442 229 41 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"ISHIMITSU INDUSTRY MEXICO, S.A. DE C.V.",,Autopartes Cerrada La Estacada 470,442 571 01 70,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"KH MEXICO, S. DE R.L. DE C.V.",Alemana,Automotriz,442 427 82 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"KIRCHHOFF AUTOMOTIVE, S.A. DE C.V.",Alemana,Automotriz La Noria 111,442 211 39 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"KURASHIKI KAKO MEXICANA, S.A. DE C.V.",Japonesa,Automotriz,442 299 71 31,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"MARTINREA HONSEL MEXICO, S.A. DE C.V. PLANTA 2",Canadiense,Automotriz,442 229 46 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"NARMX QUERETARO, S.A. DE C.V.",Canadiense,Automotriz Carretera 57 km. 28.5,442 211 37 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"PREFORMADOS DE MEXICO, S.A. DE C.V. (PLP",Americana,Fabricacin de cables preformados y accesorios para conductores elctricos y telecomunicaciones La Griega 131,442 238 95 40,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
RONAL QUERETARO S.A. DE C.V.,Suiza,Automotriz San Pedrito 108,,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"SAF HOLLAND INTERNATIONAL, S.A. DE C.V.",Mexicana,Ensamble y distribucin de autopartes para transporte de carga pesada Privada Balvanera 101 Fase 4,5578 78 2815,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"SHAPE CORP MEXICO, S. DE R.L. DE C.V.",Americana,Automotriz,442 101 47 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"TRELLEBORG BOOTS MEXICO, S.A. DE C.V.",,Suecia Fabricacin de piezas automotrices,442 880 5085,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
"VARI-FORM DE MEXICO, S. DE R.L. DE C.V.",Canadiense,Automotriz Cerrada La Estacada 550,442 192 31 00,NO BUSCADA,Giro generico 'Automotriz' sin senal electronica. Prioridad baja,-
